name_trip,address_trip,name_g,address_g
Il Mondo Ristorante Pizzeria,delle forze armate,Il Mondo Ristorante Pizzeria,delle forze armate
Pizzikotto,rosa vergani marelli,Pizzikotto,rosa vergani marelli
Ristorante El Pollo Gordo,carlo imbonati,Ristorante El Pollo Gordo,carlo imbonati
Teorema Cafè,umbria   fermata   umbria comelico fermata   umbria,Teorema Café,umbria
Ristorante mamma Africa,giulio   corrado venini,Ristorante Bar mamma Africa,giulio   corrado venini
AL NOOR 1 ROSTICCERIA INDIANA,giuseppe ripamonti,AL NOOR 1 Rosticceria Indiana,giuseppe ripamonti
New Ghandi,benedetto marcello,New Gandhi,benedetto marcello
Take Away Bistrot,san marco,TakeAway Bistrot,san marco
Mauro E Luisa,delle rimembranze di lambrate,Mauro & Luisa,delle rimembranze di lambrate
La Cappa,giuseppe ripamonti,La Cappa,giuseppe ripamonti
Pizzeria 4 Agosto,padova,Pizzeria 4 Agosto,padova
Vurria Moscova,della moscova,Horteria Moscova,della moscova
La Teglia Di Affori,pellegrino rossi,La Teglia Di Affori,pellegrino rossi
Panini Durini,gae aulenti   porta nuova,Panini Durini,gae aulenti
Trattoria da Bruna e Sandro,trieste,Trattoria Da Bruna & Sandro,trieste
Osteria della via Appia Moscova,della moscova   largo la foppa,Osteria Della Via Appia Moscova,della moscova
Chinese Township 168,edoardo jenner,168 Chinese Township,edoardo jenner
La Mia Toscana,cesare da sesto,La Mia Toscana,cesare da sesto
Pray For Burger,felice casati,Pray for Burger,felice casati
Mammaoliva,v monti,Mamma Oliva,vincenzo monti
Qian Wei Fang,carlo imbonati   angolo conte verde,Qian Wei Fang 千味坊,carlo imbonati
Lan Sushi,ariberto,Lan Sushi,ariberto
Sakura,dellospedale maggiore   bicocca,Sakura,dellospedale maggiore
Piano B,moncucco   sotto i portici,PianoB,moncucco
God Save the Food,del carmine,God Save The Food,del carmine
Pazzeria,piazzale giovanni dalle bande nere,Pazzeria,piazzale giovanni delle bande nere
Marmara Turkish KEBAP E PIZZA,piazzale giovanni delle bande nere,Marmara Turkish KEBAP E PIZZA,piazzale giovanni delle bande nere
"Mamì, Storie Di Cucina Italiana",montebianco   p01 incrocio masaccio,MAMÌ Storie di Cucina Italiana,monte bianco
Kanji Centrale,aminto caretto,Kanji Centrale,aminto caretto
Doppio Malto Milano Viale Liguria,liguria,Doppio Malto Milano Navigli,liguria
Flow Experience,della trivulziana,FLOW Experience,della trivulziana
Radicetonda,lazzaro spallanzani,Radicetonda,lazzaro spallanzani
