Unnamed: 0,Index,business_status,geometry,name_g,place_id,types,address_g,rating_g,total_reviews_g,price_level_g,address_g_backup
7616,33259,OPERATIONAL,"{'lat': 45.5031098, 'lng': 9.1089728}",Youtuboancheio,ChIJkQlagW3BhkcROjgp8V8k1bc,"['restaurant', 'point_of_interest', 'food', 'establishment']",bolla,,,,"Via Bolla, Milano"
7617,33261,OPERATIONAL,"{'lat': 45.5035765, 'lng': 9.110491699999997}",Da Giovanni,ChIJVbUhwCzAhkcRLDfdt-YQeeU,"['restaurant', 'food', 'point_of_interest', 'establishment']",gallarate,4.1,354.0,2.0,"Via Gallarate, 351, Milano"
7618,33265,OPERATIONAL,"{'lat': 45.50359230000001, 'lng': 9.122360100000003}",Icegreen gelateria caffetteria viale certosa,ChIJNZW2wZfBhkcR8Zg2cas-bjc,"['bar', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",certosa,4.9,8.0,,"Viale Certosa, 314, Milano"
7620,33301,OPERATIONAL,"{'lat': 45.5033794, 'lng': 9.161427900000001}",Todo Modo,ChIJA__MrOTAhkcRv3PRFDOMlSM,"['bar', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",don giuseppe andreoli,4.3,626.0,1.0,"Via Don Giuseppe Andreoli, 27, Milano"
7621,33302,OPERATIONAL,"{'lat': 45.5030365, 'lng': 9.161388299999999}",El Sabrosito - Steak House - Asado,ChIJF8VQJrfBhkcR1rgEqpiHqbI,"['restaurant', 'food', 'point_of_interest', 'establishment']",bovisasca,4.6,40.0,,"Via Bovisasca, 2, Milano"
7622,33305,OPERATIONAL,"{'lat': 45.5030828, 'lng': 9.1619566}",Piadineria da Luca,ChIJVyh3qOTAhkcRqF0wRBtFA2A,"['restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe candiani,4.5,97.0,,"Via Giuseppe Candiani, 126, Milano"
7624,33312,OPERATIONAL,"{'lat': 45.5030609, 'lng': 9.161744700000002}",Mr Toast by Sciuè,ChIJMa3BqeTAhkcRrBUW2j6oD_0,"['restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe candiani,5.0,1.0,,"Via Giuseppe Candiani, 128, Milano"
7626,33314,OPERATIONAL,"{'lat': 45.5031236, 'lng': 9.1621294}",La Caveja,ChIJ5VZKpuTAhkcRV6yaHpD40kc,"['restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe candiani,4.0,1.0,1.0,"Via Giuseppe Candiani, 126, Milano"
7627,33315,OPERATIONAL,"{'lat': 45.5036767, 'lng': 9.1618205}",88 Lab Bubble tea & Poke,ChIJD9p9EJTBhkcRc4HGKvjebnE,"['restaurant', 'food', 'point_of_interest', 'establishment']",don giuseppe andreoli,4.9,19.0,,"Via Don Giuseppe Andreoli, 20, Milano"
7628,33316,OPERATIONAL,"{'lat': 45.5035182, 'lng': 9.162087999999999}",Aula PoliFunzionale,ChIJy853zArBhkcRyf8IOoIK2Sw,"['movie_theater', 'gym', 'spa', 'lodging', 'health', 'restaurant', 'food', 'bar', 'finance', 'point_of_interest', 'establishment']",don giuseppe andreoli,4.8,12.0,,"Via Don Giuseppe Andreoli, Milano"
7629,33317,OPERATIONAL,"{'lat': 45.5030934, 'lng': 9.162456200000001}",Nevada Take Away,ChIJzXcsp-TAhkcRx3fDs6AHKDI,"['restaurant', 'food', 'point_of_interest', 'establishment']",giuseppe candiani,4.8,26.0,,"Via Giuseppe Candiani, 125, Milano"
7633,33330,OPERATIONAL,"{'lat': 45.5032539, 'lng': 9.1626463}",Ma Mi Hostaria Gastronomy,ChIJHWHBsiXBhkcRAQ0_c2cBvCE,"['restaurant', 'point_of_interest', 'food', 'store', 'establishment']",giuseppe candiani,4.7,83.0,1.0,"Via Giuseppe Candiani, 122, Milano"
7635,33350,OPERATIONAL,"{'lat': 45.5038443, 'lng': 9.163023}",TABACCHERIA De Benedictis Francesco,ChIJOa9fk-TAhkcRbVyBvsrf89M,"['restaurant', 'food', 'bar', 'local_government_office', 'store', 'point_of_interest', 'establishment']",don giuseppe andreoli,5.0,2.0,,"Via Don Giuseppe Andreoli, Milano"
