,Index,business_status,geometry,name_google,place_id,price_level_google,rating_google,types,total_reviews_google,address
1338,4916,OPERATIONAL,"{'lat': 45.4493075, 'lng': 9.253351799999999}",Rania Di Elshobaki Mohamed Elymnani Salem Mohamed,ChIJf75lauHFhkcRL7N9z_5m1JY,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Mecenate, 107, Milano"
1339,4925,OPERATIONAL,"{'lat': 45.4513521, 'lng': 9.2594674}",Ristorante El Tekkia M.M.G. Soc.Coop.,ChIJl1bBdgrGhkcRrfG0LYCIdBI,2.0,4.1,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",298.0,"Via Gaudenzio Fantoli, 28/15, Milano"
1340,4929,OPERATIONAL,"{'lat': 45.4539923, 'lng': 9.079573600000002}",Punto pizza,ChIJf-ZjRuTphkcRrCz-Ppj6LeU,,4.5,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",61.0,"Via delle Betulle, 32/A, Milano"
1341,4943,OPERATIONAL,"{'lat': 45.45249560000001, 'lng': 9.1333112}",Cascina Corba,ChIJQXYTrjLChkcRvoSW6Kka9Ww,3.0,4.0,"['bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",520.0,"Via dei Gigli, 14, Milano"
1342,4944,OPERATIONAL,"{'lat': 45.4539599, 'lng': 9.134423800000002}",Denzel sweet bakery,ChIJM-pNttLDhkcRHwvZc-j-kj0,2.0,4.5,"['bakery', 'grocery_or_supermarket', 'restaurant', 'store', 'point_of_interest', 'food', 'establishment']",51.0,"Via Luigi Soderini, 55, Milano"
1343,4949,OPERATIONAL,"{'lat': 45.45435309999999, 'lng': 9.134163499999998}",Pizzikotto,ChIJx_HlsxbDhkcRBaIVBbKT_Es,2.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",933.0,"Via Rosa Vergani Marelli, 1, Milano"
1344,4952,OPERATIONAL,"{'lat': 45.45329919999999, 'lng': 9.1388385}",Lab café,ChIJl0BjGtLDhkcR9mNl4fRylUo,2.0,4.4,"['restaurant', 'food', 'point_of_interest', 'establishment']",290.0,"Via Luigi Scrosati, 9, Milano"
1345,4980,OPERATIONAL,"{'lat': 45.4527469, 'lng': 9.144466300000001}",La Bottega dei Pasticci,ChIJI7a5D9DDhkcRfNBnm90o_9M,2.0,4.2,"['bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",255.0,"Via Pietro Redaelli, 1, Milano"
1346,4982,OPERATIONAL,"{'lat': 45.4525762, 'lng': 9.145145800000002}",La pinsa,ChIJHXatL1PDhkcRR-OCQW8kKCY,,3.8,"['restaurant', 'food', 'point_of_interest', 'establishment']",8.0,"Via Lorenteggio, 57, Milano"
1347,4985,OPERATIONAL,"{'lat': 45.45287219999999, 'lng': 9.145968900000002}",La Darsena,ChIJS21wu9rDhkcRbq631Sqj-pg,1.0,4.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",153.0,"Via Lorenteggio, 47, Milano"
1348,4989,OPERATIONAL,"{'lat': 45.45303500000001, 'lng': 9.146620900000002}",Long Yuan,ChIJtQcnwNrDhkcRFJK3sPJ5ltQ,1.0,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",158.0,"Via Lorenteggio, 43, Milano"
1349,4990,OPERATIONAL,"{'lat': 45.45303500000001, 'lng': 9.146620900000002}",Qiu Haibin,ChIJByyb6trDhkcRo0g0pUGtC-8,,3.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",2.0,"Via Lorenteggio, 43, Milano"
1350,4997,PERMANENTLY_CLOSED,"{'lat': 45.45261410000001, 'lng': 9.1478005}",Guido Del Re,ChIJeeg519rDhkcR8PgALmLBzqQ,,,"['restaurant', 'point_of_interest', 'food', 'establishment']",,"Via Tito Vignoli, 42, Milano"
1351,5012,OPERATIONAL,"{'lat': 45.4528699, 'lng': 9.149204799999998}",Tu mi fai girar,ChIJh31KgIzDhkcRV1R6DVcH3mM,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",58.0,"Via Vespri Siciliani, 30, Milano"
1352,5013,OPERATIONAL,"{'lat': 45.4525961, 'lng': 9.149929}",Kiosko sushi and more,ChIJZ_52xkPDhkcRENL8lgFu-8g,,4.7,"['restaurant', 'food', 'point_of_interest', 'establishment']",103.0,"Via Leone Tolstoi, 45, Milano"
1353,5014,PERMANENTLY_CLOSED,"{'lat': 45.45268000000001, 'lng': 9.1499392}",Amo,ChIJsZLu0bPDhkcRvMDyMJ4dKNU,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Leone Tolstoi, 47/33, Milano"
1354,5016,OPERATIONAL,"{'lat': 45.45348980000001, 'lng': 9.1494219}",Gastronomia Cinese,ChIJp6NjEtvDhkcRjcPv-CRVw6g,,,"['restaurant', 'food', 'point_of_interest', 'establishment']",,"Via Leone Tolstoi, 53, Milano"
1355,5017,PERMANENTLY_CLOSED,"{'lat': 45.4535245, 'lng': 9.149418700000002}",China Espress,ChIJGRN5EtvDhkcRIYc8cmD4LDA,,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']",1.0,"Via Leone Tolstoi, 53, Milano"
1356,5020,OPERATIONAL,"{'lat': 45.4535491, 'lng': 9.1499277}",Moon Light 92,ChIJPXxoZI7BhkcR951T_G-WAGI,2.0,4.1,"['restaurant', 'point_of_interest', 'food', 'establishment']",473.0,"Via Tolstoi Leone, 48, Milano"
