id,title,r_bubbles,r_number,cook_type,expensive
2848,2849. Pesce d’oro,"Punteggio 4,5 su 5",13 recensioni,"Italiana, Mediterranea",€€ - €€€
2849,2850. Arena Bistrot,"Punteggio 4,0 su 5",57 recensioni,"Wine Bar, Italiana",?
2850,2851. Reginella,"Punteggio 3,5 su 5",84 recensioni,"Italiana, Pizza",€€€€
2851,2852. Dito Divino,"Punteggio 4,0 su 5",65 recensioni,Italiana,€
2852,2853. Subway Pub,"Punteggio 4,5 su 5",31 recensioni,€,?
2853,2854. Langosteria,"Punteggio 4,0 su 5",50 recensioni,"Italiana, Pesce",€€€€
2854,2855. Fang Jong,"Punteggio 3,5 su 5",104 recensioni,"Cinese, Pesce",€
2855,2856. Ristorante Self Service Chery,"Punteggio 4,0 su 5",49 recensioni,"Italiana, Bar",€
2856,2857. Mzmtr Milano,"Punteggio 4,0 su 5",35 recensioni,"Italiana, Pizza",€€ - €€€
2857,2858. IUTA Bistrot,"Punteggio 3,5 su 5",290 recensioni,"Italiana, Mediterranea",€€ - €€€
2858,2859. Garden City,"Punteggio 3,5 su 5",137 recensioni,"Italiana, Pizza",€
2859,2860. 1848 Sandwiches & Delicious,"Punteggio 4,0 su 5",88 recensioni,"Italiana, Caffè",€
2860,2861. Bob,"Punteggio 4,0 su 5",89 recensioni,"Cinese, Fusion",€€ - €€€
2861,2862. Bubu Fiaschetteria Toscana,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Mediterranea",€€ - €€€
2862,2863. TEN Restaurant Milano Tito Livio,"Punteggio 4,5 su 5",23 recensioni,"Italiana, Pizza",€€ - €€€
2863,2864. L’Egizio Bar e Ristorante,"Punteggio 4,0 su 5",49 recensioni,"Araba, Mediterranea",€€ - €€€
2864,2865. Pane & Trita - Porta Romana,"Punteggio 4,0 su 5",21 recensioni,"Italiana, Americana",?
2865,2866. Le Capannelle,"Punteggio 3,5 su 5",124 recensioni,"Italiana, Pizza",€€ - €€€
2866,2867. Magentino,"Punteggio 3,5 su 5",110 recensioni,"Italiana, Mediterranea",€€ - €€€
2867,2868. Sophia Loren Restaurant,"Punteggio 3,5 su 5",61 recensioni,Italiana,?
2868,2869. Tag Café By Orapesce,"Punteggio 5,0 su 5",8 recensioni,"Italiana, Europea",?
2869,2870. La Puccieria,"Punteggio 4,5 su 5",14 recensioni,"Italiana, Fast food",€€ - €€€
