trip,similar
 Amobistrot,"[{'score': 80, 'google': 'Ape Bistrot', 'formatted_google': 'apebistrot'}, {'score': 87, 'google': 'Atempo Bistrot', 'formatted_google': 'atempobistrot'}, {'score': 82, 'google': 'Bistrot', 'formatted_google': 'bistrot'}, {'score': 82, 'google': 'Bistrot', 'formatted_google': 'bistrot'}, {'score': 82, 'google': 'Bistrot', 'formatted_google': 'bistrot'}, {'score': 82, 'google': 'EAT MI BISTROT', 'formatted_google': 'eatmibistrot'}, {'score': 82, 'google': 'Mo.Sto Bistrot', 'formatted_google': 'mostobistrot'}, {'score': 86, 'google': 'Monzù Bistrot', 'formatted_google': 'monzùbistrot'}, {'score': 86, 'google': 'Mood Bistrot', 'formatted_google': 'moodbistrot'}, {'score': 86, 'google': 'Timo Bistrot', 'formatted_google': 'timobistrot'}]"
 Amabile Milano Porta Romana,[]
 Anarres Libreria-Bistrot,"[{'score': 100, 'google': 'Anarres Libreria-Bistrot', 'formatted_google': 'anarreslibreriabistrot'}]"
 Amabile Milano Viale Teodorico,[]
 Anche,"[{'score': 100, 'google': 'Anche', 'formatted_google': 'anche'}]"
 Anche - Via Oxilia,"[{'score': 100, 'google': 'Anche - Via Oxilia', 'formatted_google': 'ancheviaoxilia'}]"
 Anche - Via Perugino,"[{'score': 100, 'google': 'Anche - Via Perugino', 'formatted_google': 'ancheviaperugino'}]"
 Andrea Aprea - Ristorante,"[{'score': 100, 'google': 'Andrea Aprea | Ristorante', 'formatted_google': 'andreaaprearistorante'}]"
 American Fried Chicken,[]
 Amor di Sicilia,[]
 Amor di Patata,[]
 Amunì,[]
 Angelo's Bistrot,"[{'score': 100, 'google': ""Angelo's Bistrot"", 'formatted_google': 'angelosbistrot'}]"
 Amigdala Café,[]
 Angolo del Sapore,"[{'score': 100, 'google': 'Angolo Del Sapore', 'formatted_google': 'angolodelsapore'}]"
 Amsterdam Chips,[]
 Amò Art / Food / Sound,[]
 Andrea's Bistrot de Milan,[]
 Amico Fritz,[]
 Ancora,[]
 Antica Focacceria San Francesco,"[{'score': 100, 'google': 'Antica Focacceria San Francesco', 'formatted_google': 'anticafocacceriasanfrancesco'}]"
 Antica Focacceria San Francesco,"[{'score': 100, 'google': 'Antica Focacceria San Francesco', 'formatted_google': 'anticafocacceriasanfrancesco'}]"
 Andry In Sartoria,[]
 Andrew's Bar,[]
 Antica Osteria Cavallini,"[{'score': 100, 'google': 'Antica Osteria Cavallini', 'formatted_google': 'anticaosteriacavallini'}]"
 Anna Cafè,[]
 Amuse Bouche - Laboratorio,[]
 Angolo Bar,"[{'score': 90, 'google': 'Angolo bar Mi', 'formatted_google': 'angolobarmi'}]"
 Anatolia Doner Kebab,[]
 Antica Osteria del Mare,"[{'score': 100, 'google': 'Antica Osteria del Mare', 'formatted_google': 'anticaosteriadelmare'}]"
 Antica Pizzeria Fiorentina,"[{'score': 100, 'google': 'Antica Pizzeria Fiorentina', 'formatted_google': 'anticapizzeriafiorentina'}]"
 Antica Osteria il Ronchettino,"[{'score': 100, 'google': 'Antica Osteria Il Ronchettino', 'formatted_google': 'anticaosteriailronchettino'}]"
 Angolo Di Casa Brera,"[{'score': 80, 'google': ""L'Angolo di Casa"", 'formatted_google': 'langolodicasa'}]"
 Angus and More,"[{'score': 86, 'google': 'Angus & More', 'formatted_google': 'angusmore'}]"
