id_restaurants,bubbles,title,description
12,bubble_50,,"Un esperienza incredibile. Abbiamo scelto il menu degustazione composto da 10 portate per 2 persone. Abbiamo assaporato ogni sapore, provato diverse tipologie di pesce,assaggiato gli spaghetti al the verde (unici!) Ed infine gli special gunkan. Quello che viene descritto nelle pagine social merita di essere...Più"
12,bubble_50,,"Decidiamo per un sushi veloce a pranzo e scegliamo questo delizioso ristorante nel centro di Milano. Ambiente rilassante, ottimo servizio ed elevatissima qualità dei prodotti ci accompagnano in un pranzo con piatti accattivanti anche nella presentazione. Consigliato anche per i più esigenti."
12,bubble_50,,"Ormai yokohama è diventato uno dei nostri posti del cuore, ma con questi piatti, come poteva non essere così? noi abbiamo provato: - Samu Roll: tonno, branzino, capasanta, avocado, pistacchio, cioccolato fondente e wasabi fresco; - Sakura: tempura di gambero, rucola, burrata, gamberi crudi, salsa...Più"
12,bubble_50,,"SPETTACOLO. Il locale è splendido, il servizio è tanto curato quanto rapido e senza eccessivi fronzoli. Materia prima al top. E Rosy e Paolo sono due persone splendide. Stra consigliati ravioli cristallo, carbonara di mare astice al passion fruit."
12,bubble_50,,"Che dire, ottima qualità, esplosione di gusti con il menù degustazione. Rosy anima la serata con il suo sorriso! Torneremo sicuramente, grazie mille!"
13,bubble_50,,"La miglior pizza a Milano , belissima atmosfera , tutti gentili . Ritorniamo di sicuro , a presto Napiz"
13,bubble_50,,Siamo arrivati a Milano alle ore 22:30 e sotto consiglio dell'albergatrice siamo andati al Napiz. Sicuramente un po' tardi per la cena ma con molta gentilezza ci hanno fatto accomodare. Subito ci hanno portato una piccola piadina e due calici offerti dalla casa. La sorpresa...Più
13,bubble_50,,Mangiare la pizza in questo ristorante a Milano sembra di stare a Napoli nei quartieri spagnoli a Portici a Posillipo il profumo della pizza alla brace ovvero al forno è veramente fantastica chissà che legna usano sono veramente bravi meritano veramente tanto questi ragazzi
13,bubble_50,,"- Ottima accoglienza - Pizza buonissima con prodotti di qualitá, consiglio di prendere “una bella margherita” - Ottimo rapporto qualità/prezzo - Personale gentile"
13,bubble_50,,"Una buona pizza a Milano. Qualità-prezzo ottimo, non è la vera pizza napoletana ma si avvicina molto. Gli ingredienti sono di qualità. Il personale è molto accogliente e gentile."
