Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
5833, Caffetteria della Moscova,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5834, Instanbul Ravizza Kebab & Pizza,"Punteggio 3,0 su 5",2 recensioni,"Italiana, Pizza",?
5835, Toke Peru,"Punteggio 3,0 su 5",2 recensioni,?,2.5
5836, Bottega Del Pane,"Punteggio 3,0 su 5",1 recensione,?,?
5837, D&P Sunrise Cafè,"Punteggio 3,0 su 5",1 recensione,"Italiana, Bar",1
5838, Ichi Station Cusani,"Punteggio 3,0 su 5",1 recensione,"Giapponese, Sushi",?
5839, Triennale Social Pizza,"Punteggio 3,0 su 5",1 recensione,"Italiana, Pesce",?
5840, Dada Bar,"Punteggio 3,0 su 5",1 recensione,Italiana,?
5841, El Barettin,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5842, Caffè Delle 5 Giornate,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5843, L'Angolo Bar,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5844, Bar Crema,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5845, Wan'z,"Punteggio 3,0 su 5",1 recensione,?,?
5846, Paradise,"Punteggio 3,0 su 5",2 recensioni,?,2.5
5847, Crystal Bar,"Punteggio 3,0 su 5",1 recensione,?,1
5848, Heidi,"Punteggio 3,0 su 5",1 recensione,?,?
5849, le Clavier,"Punteggio 3,0 su 5",1 recensione,?,?
5850, Bar Canonica,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5851, Bar Canonica,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5852, Cafè Monet,"Punteggio 3,0 su 5",1 recensione,"Italiana, Bar",?
5853, Pizzeria Manducare,"Punteggio 3,0 su 5",1 recensione,Pizza,?
5854, TesLino Cafè,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5856, Food and Sport Cimiano,"Punteggio 3,0 su 5",1 recensione,?,?
5857, Abreu Bistrot Caffé,"Punteggio 3,0 su 5",1 recensione,?,?
5858, El Meneghin,"Punteggio 3,0 su 5",1 recensione,Pizza,?
5859, Hot Pot,"Punteggio 3,0 su 5",1 recensione,Cinese,?
5860, Mokarabia Caffé,"Punteggio 3,0 su 5",4 recensioni,?,?
5862, La Caffeina,"Punteggio 3,0 su 5",1 recensione,?,1
5863, Caffè della Pace,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5864, L'Altro Gusto,"Punteggio 3,0 su 5",1 recensione,Italiana,2.5
5865, Bar Granny,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5866, Sir Sandwich Cafe,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5867, Cool Gelateria,"Punteggio 3,0 su 5",1 recensione,?,?
5868, Bar Coffiamo,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5869, Art Café,"Punteggio 3,0 su 5",1 recensione,Caffè,?
5870, Bar Caffé,"Punteggio 3,0 su 5",1 recensione,?,?
5871, Bar Blois,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5872, Bar Man,"Punteggio 3,0 su 5",1 recensione,?,?
5873, Orange Spritz Bar,"Punteggio 3,0 su 5",1 recensione,Pub,?
5874, Italia 1,"Punteggio 3,0 su 5",2 recensioni,?,?
5875, Bar Del Corso,"Punteggio 3,0 su 5",1 recensione,?,?
5876, Pizzeria del Sol,"Punteggio 3,0 su 5",1 recensione,"Italiana, Pizza",2.5
5877, Laodifang,"Punteggio 3,0 su 5",1 recensione,Cinese,?
5878, Dream Kebab,"Punteggio 3,0 su 5",1 recensione,Cibo di strada,?
5879, Caffé Molino,"Punteggio 3,0 su 5",1 recensione,?,?
5880, White,"Punteggio 3,0 su 5",1 recensione,?,?
5881, Maxi Bar,"Punteggio 3,0 su 5",1 recensione,?,?
5882, Euro Sa Siro,"Punteggio 3,0 su 5",1 recensione,?,?
5883, Essere Benessere Caffé,"Punteggio 3,0 su 5",1 recensione,?,?
5884, Imi Sushi,"Punteggio 3,0 su 5",1 recensione,Sushi,?
5885, Corallo,"Punteggio 3,0 su 5",1 recensione,?,?
5886, Spitfire,"Punteggio 3,0 su 5",3 recensioni,?,?
5888, Mevlana Kebap,"Punteggio 3,0 su 5",1 recensione,"Fast food, Turca",?
5889, Bar Fiamingo,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5890, La Battagliera,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5891, Spritz Bar,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5892, Cocotte Jolie - Milano,"Punteggio 3,0 su 5",1 recensione,?,?
5894, Bastianello,"Punteggio 3,0 su 5",1 recensione,"Italiana, Italiana (nord)",?
5895, Blu Yasmin,"Punteggio 3,0 su 5",1 recensione,?,?
5896, McDonald's,"Punteggio 3,0 su 5",1 recensione,?,?
5897, Bella Vista Istanbul 2 Kebap,"Punteggio 3,0 su 5",1 recensione,?,?
5898, Papiniano Pizzeria Kebab,"Punteggio 3,0 su 5",1 recensione,"Pizza, Cibo di strada",?
5899, Bar Luna,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5900, Bocconi Turkish Pizzeria Kebap,"Punteggio 3,0 su 5",1 recensione,Turca,?
5901, Nico Bar,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5902, KFC,"Punteggio 3,0 su 5",1 recensione,?,?
5903, Bocado Mediterraneo,"Punteggio 3,0 su 5",1 recensione,"Italiana, Mediterranea",2.5
5904, El Cafè de Milan,"Punteggio 3,0 su 5",1 recensione,"Bar, Pub",?
5905, Mi Pizza Milano,"Punteggio 3,0 su 5",1 recensione,"Americana, Italiana (nord)",?
5906, Tracce,"Punteggio 3,0 su 5",3 recensioni,?,?
5907, Mcdonald's Milano Oberdan,"Punteggio 3,0 su 5",2 recensioni,Fast food,?
5908, Trattoria Giada,"Punteggio 3,0 su 5",1 recensione,"Cinese, Sudamericana",?
5909, Rickymat,"Punteggio 3,0 su 5",1 recensione,Gastronomia,?
5910, Bocconcino,"Punteggio 3,0 su 5",2 recensioni,?,?
5911, A 3 Strati,"Punteggio 3,0 su 5",3 recensioni,"Italiana, Americana",?
5912, Le Spighe Alla Scala,"Punteggio 3,0 su 5",22 recensioni,Italiana,1
5913, Pont De Fer,"Punteggio 3,0 su 5",2 recensioni,"Italiana, Internazionale",?
5914, Spontini - Darsena,"Punteggio 3,0 su 5",74 recensioni,"Pizza, Italiana",2.5
5915, Niro Meet Bar,"Punteggio 3,0 su 5",67 recensioni,"Italiana, Bar",1
5916, Zizania,"Punteggio 3,0 su 5",7 recensioni,"Italiana, Bar",?
5917, Living Liqueurs & Delights,"Punteggio 3,0 su 5",662 recensioni,"Italiana, Bar",2.5
5918, Peter Pan,"Punteggio 3,0 su 5",8 recensioni,"Birreria, Caffè",2.5
5920, Smoke one,"Punteggio 3,0 su 5",4 recensioni,?,?
5921, Horto,"Punteggio 3,0 su 5",4 recensioni,Italiana,?
5922, king's pub,"Punteggio 3,0 su 5",146 recensioni,"Bar, Pub",2.5
5923, Foodie's by Tramezzino,"Punteggio 3,0 su 5",3 recensioni,"Bar, Pub",?
5924, Trattoria Wenzhou,"Punteggio 3,0 su 5",2 recensioni,?,?
5926, Yspanico,"Punteggio 3,0 su 5",55 recensioni,"Spagnola, Mediterranea",?
5927, Bar Sallas,"Punteggio 3,0 su 5",3 recensioni,Italiana,?
5928, Il Tempio Del Sapore Di Valeria Stanzione,"Punteggio 3,0 su 5",4 recensioni,?,?
5929, Al Magna Magna,"Punteggio 3,0 su 5",38 recensioni,"Pizza, Italiana",1
5930, Grand Poke,"Punteggio 3,0 su 5",2 recensioni,"Giapponese, Hawaiana",1
5931, Sen Sushi,"Punteggio 3,0 su 5",129 recensioni,"Cinese, Giapponese",2.5
5932, Pupuseria Costa Azul,"Punteggio 3,0 su 5",5 recensioni,"Salvadoregna, Sudamericana",?
5933, Caretto Cafe - Bistrot,"Punteggio 3,0 su 5",7 recensioni,"Italiana, Caffè",1
5934, Roman'antica,"Punteggio 3,0 su 5",5 recensioni,Italiana,?
5935, La Coloniale Degustazione Vini,"Punteggio 3,0 su 5",65 recensioni,Wine Bar,1
5936, Ristorante La Svolta,"Punteggio 3,0 su 5",152 recensioni,"Italiana, Pizza",1
5937, Crocetta Panini d'Autore 1982 - Porta Romana,"Punteggio 3,0 su 5",354 recensioni,"Italiana, Bar",2.5
5938, De Santis Brera,"Punteggio 3,0 su 5",3 recensioni,Italiana,?
5939, Boccascena Cafe',"Punteggio 3,0 su 5",34 recensioni,Italiana,1
5940, Mare Culturale Urbano,"Punteggio 3,0 su 5",355 recensioni,"Italiana, Pizza",2.5
5941, Rice Ball House,"Punteggio 3,0 su 5",6 recensioni,"Giapponese, Sushi",1
5942, Giacomo Rosticceria,"Punteggio 3,0 su 5",173 recensioni,"Italiana, Mediterranea",2.5
5943, Mana Pokebar,"Punteggio 3,0 su 5",6 recensioni,Asiatica,?
5944, Ristorante della Balera dell'Ortica,"Punteggio 3,0 su 5",436 recensioni,Italiana,1
5945, Pizzeria Italia 1 n2,"Punteggio 3,0 su 5",25 recensioni,"Italiana, Pizza",1
5946, Domino's Pizza,"Punteggio 3,0 su 5",32 recensioni,"Pizza, Italiana",2.5
5947, Fairouz,"Punteggio 3,0 su 5",58 recensioni,?,?
5948, L'Antica Pizzeria da Michele,"Punteggio 3,0 su 5",1.170 recensioni,"Italiana, Pizza",2.5
5949, Burgez,"Punteggio 3,0 su 5",41 recensioni,"Americana, Fast food",2.5
5950, Pecora Matta - Arrosticini D'abruzzo,"Punteggio 3,0 su 5",2 recensioni,"Italiana, Italiana (centro)",?
5952, Jia Yan,"Punteggio 3,0 su 5",11 recensioni,"Pizza, Italiana",1
5953, Galaxy Café,"Punteggio 3,5 su 5",6 recensioni,Italiana,?
5954, Pazzeria,"Punteggio 3,0 su 5",298 recensioni,"Bar, Pub",2.5
5955, Passione Di Sofì,"Punteggio 3,0 su 5",10 recensioni,"Cibo di strada, Napoletana",?
5956, Pizzeria Amici,"Punteggio 3,0 su 5",4 recensioni,?,?
5958, Caiman,"Punteggio 3,0 su 5",2 recensioni,?,?
5959, Settimio Caffè e Bistrot,"Punteggio 3,0 su 5",6 recensioni,"Bar, Caffè",?
5960, La Caffétteria Dell'Ombra,"Punteggio 3,5 su 5",4 recensioni,?,?
5961, The Old Fashion Cafe,"Punteggio 3,0 su 5",31 recensioni,?,1
5962, Gnam,"Punteggio 3,0 su 5",7 recensioni,"Italiana, Fast food",?
5963, Mon Amour,"Punteggio 3,0 su 5",27 recensioni,"Italiana, Pizza",1
5964, Calavera Rapido,"Punteggio 3,0 su 5",14 recensioni,"Messicana, Fast food",1
5965, Ciao Pizza - DogOut,"Punteggio 3,0 su 5",6 recensioni,"Pizza, Fast food",?
5966, Ristorante Manin,"Punteggio 3,0 su 5",12 recensioni,"Italiana, Mediterranea",2.5
5967, Meneghino Birreria,"Punteggio 3,0 su 5",5 recensioni,"Birreria, Pub",2.5
5968, Caffè Spadari,"Punteggio 3,0 su 5",229 recensioni,"Italiana, Mediterranea",2.5
5969, Makiyo Sushi & Pizza Bovisa,"Punteggio 3,0 su 5",20 recensioni,"Giapponese, Pesce",1
5970, McDonald's,"Punteggio 3,0 su 5",3 recensioni,?,?
5971, Pura Vida,"Punteggio 3,0 su 5",5 recensioni,"Bar, Pub",?
5972, Piadiamo,"Punteggio 3,0 su 5",4 recensioni,"Italiana, Cibo di strada",?
5973, Grani & Braci,"Punteggio 3,0 su 5",1.829 recensioni,"Italiana, Pizza",2.5
5974, Brera Milano Marsala,"Punteggio 3,0 su 5",52 recensioni,"Pizza, Italiana",1
5975, Ortica 27,"Punteggio 3,0 su 5",119 recensioni,"Italiana, Pizza",1
5976, Meat Grill Food,"Punteggio 3,0 su 5",1.057 recensioni,"Italiana, Mediterranea",2.5
5977," Brek, I Feel Food","Punteggio 3,0 su 5",3 recensioni,Italiana,2.5
5978, La Filetteria Italiana Marghera,"Punteggio 3,0 su 5",101 recensioni,"Steakhouse, Italiana",€€€€
5979, Pane Caffé,"Punteggio 3,0 su 5",10 recensioni,?,1
5980, Burger Bun,"Punteggio 3,0 su 5",33 recensioni,?,2.5
5981, Pizzalandia,"Punteggio 3,0 su 5",24 recensioni,"Italiana, Pizza",1
5982, Il Padellino,"Punteggio 3,0 su 5",10 recensioni,"Italiana, Pizza",1
5984, Hosteria dei sognatori,"Punteggio 3,0 su 5",12 recensioni,"Italiana, Pizza",?
5985, Eppol,"Punteggio 3,0 su 5",534 recensioni,"Americana, Italiana",2.5
5986, La Piadineria,"Punteggio 3,0 su 5",11 recensioni,"Italiana, Fast food",1
5987, Tokyo Nomi,"Punteggio 3,0 su 5",129 recensioni,"Cinese, Giapponese",2.5
5988, Spontini,"Punteggio 3,0 su 5",300 recensioni,Italiana,1
5990, Collini Cafè,"Punteggio 3,0 su 5",4 recensioni,Italiana,?
5991, Duomo 21,"Punteggio 3,0 su 5",853 recensioni,"Italiana, Bar",€€€€
5992, Pesce Ubriaco,"Punteggio 3,0 su 5",202 recensioni,"Italiana, Pesce",2.5
5993, Bar Smile,"Punteggio 3,0 su 5",4 recensioni,?,?
5994, Al 2cento,"Punteggio 3,0 su 5",6 recensioni,?,?
5995, Panetteria Pattini,"Punteggio 3,0 su 5",64 recensioni,"Bar, Italiana",2.5
5996, McDonald’s,"Punteggio 3,0 su 5",141 recensioni,"Americana, Fast food",1
5997, Martin Cafè,"Punteggio 3,0 su 5",18 recensioni,"Bar, Pub",1
5998, Elettrauto Cadore,"Punteggio 3,0 su 5",380 recensioni,"Italiana, Bar",2.5
5999, New York Lounge,"Punteggio 3,0 su 5",174 recensioni,"Italiana, Bar",2.5
6000, Super Star,"Punteggio 3,0 su 5",5 recensioni,?,?
6001, Centro Leoni,"Punteggio 3,0 su 5",7 recensioni,Italiana,2.5
6002, Da Luigi E Anna,"Punteggio 3,0 su 5",28 recensioni,"Italiana, Cinese",1
6003, McDonald’s,"Punteggio 3,0 su 5",41 recensioni,"Fast food, Americana",1
6004, CAMM - Ristorante & Pizza Gourmet,"Punteggio 3,0 su 5",16 recensioni,"Italiana, Pizza",2.5
6005, Il Giardino Della Birra 2,"Punteggio 3,0 su 5",50 recensioni,?,2.5
6006, Fly Pizza 2,"Punteggio 3,0 su 5",18 recensioni,"Italiana, Pizza",1
6007, Duse Caffé,"Punteggio 3,0 su 5",16 recensioni,Italiana,1
6008, Chicken&Chicken,"Punteggio 3,0 su 5",86 recensioni,"Americana, Fast food",1
6009, Ristorante Yama,"Punteggio 3,0 su 5",26 recensioni,"Cinese, Giapponese",1
6010, Non Solo Caffé,"Punteggio 2,5 su 5",2 recensioni,?,?
6011, al cut,"Punteggio 3,0 su 5",11 recensioni,Italiana,2.5
6012, La Tana Del Gufo,"Punteggio 3,0 su 5",18 recensioni,Italiana,1
6013, N'ombra de vin,"Punteggio 3,0 su 5",685 recensioni,"Italiana, Bar",2.5
6014, Good Vibes Milano,"Punteggio 3,0 su 5",10 recensioni,"Italiana, Sushi",2.5
6016, The Glass Bar & Restaurant,"Punteggio 3,0 su 5",19 recensioni,?,2.5
6017, La Pizza Di Pulcinella,"Punteggio 3,0 su 5",5 recensioni,?,?
6018, Macha Cafè,"Punteggio 3,0 su 5",7 recensioni,"Giapponese, Sushi",?
6019, Le Meraviglie,"Punteggio 4,0 su 5",474 recensioni,"Italiana, Pizza",2.5
6020, Il Wok Odoroki,"Punteggio 3,0 su 5",228 recensioni,"Fast food, Asiatica",1
6022, Foodie's,"Punteggio 3,0 su 5",12 recensioni,"Italiana, Bar",?
6023, BURGERAMA,"Punteggio 3,0 su 5",136 recensioni,"Americana, Bar",1
6024, La Olla De Barro,"Punteggio 2,5 su 5",3 recensioni,"Peruviana, Sudamericana",2.5
6025, Gran Caffe Visconteo,"Punteggio 3,0 su 5",198 recensioni,Italiana,2.5
6026, Panghea,"Punteggio 3,0 su 5",9 recensioni,?,?
6027, LineaUno Bistrò,"Punteggio 3,0 su 5",4 recensioni,"Italiana, Mediterranea",2.5
6028, Fluid Fresh Food,"Punteggio 2,5 su 5",3 recensioni,"Mediterranea, Sushi",1
6029, Pizzeria Mamma Mia,"Punteggio 3,0 su 5",10 recensioni,"Italiana, Pizza",1
6030, The View by Makr Shakr Rooftop,"Punteggio 3,0 su 5",5 recensioni,?,?
6031, Il Giardino Della Birra 2,"Punteggio 3,0 su 5",122 recensioni,"Europea, Italiana",2.5
6032, Old Wild West,"Punteggio 3,0 su 5",360 recensioni,"Messicana, Steakhouse",2.5
6033, Pizzeria Gino Sorbillo,"Punteggio 3,0 su 5",7 recensioni,"Napoletana, Campana",?
6034, Colorificio,"Punteggio 3,0 su 5",18 recensioni,Italiana,2.5
6035, Milano Casa Curci Corso Di Porta Romana,"Punteggio 3,0 su 5",2 recensioni,"Italiana, Italiana (nord)",?
6036, IT Restaurant Milan,"Punteggio 3,0 su 5",164 recensioni,"Italiana, Mediterranea",2.5
6037, Burgez (Colonne di San Lorenzo),"Punteggio 3,0 su 5",23 recensioni,"Fast food, Barbecue",?
6038, Double B,"Punteggio 3,0 su 5",4 recensioni,Italiana,?
6039, Excalibar,"Punteggio 3,5 su 5",3 recensioni,?,?
6040, Milano Cafe,"Punteggio 3,0 su 5",571 recensioni,"Italiana, Bar",1
6041, Pigalle,"Punteggio 2,5 su 5",3 recensioni,Italiana,?
6042, Rch 31,"Punteggio 3,0 su 5",40 recensioni,Italiana,2.5
6043, Sonny Café,"Punteggio 3,0 su 5",4 recensioni,?,?
6044, Domino's Pizza,"Punteggio 3,0 su 5",19 recensioni,"Pizza, Italiana",1
6045, Bun Burgers,"Punteggio 3,0 su 5",24 recensioni,"Americana, Fast food",€€€€
6046, Trattoria Italo Cinese Xiyuan,"Punteggio 3,0 su 5",12 recensioni,"Cinese, Sudamericana",?
6048, Nico Quick Bite,"Punteggio 3,0 su 5",308 recensioni,"Italiana, Europea",2.5
6049, Trattoria Città Studi,"Punteggio 3,0 su 5",50 recensioni,"Italiana, Pizza",1
6050, Crocetta Panini d' Autore 1982 Via Giotto,"Punteggio 3,0 su 5",81 recensioni,"Italiana, Bar",2.5
6051, Ciao Pizza 1994,"Punteggio 3,0 su 5",11 recensioni,Pizza,1
6052, McDonald's,"Punteggio 2,5 su 5",4 recensioni,?,?
6054, Pizzeria Mr. Johnny,"Punteggio 2,5 su 5",2 recensioni,"Italiana, Pizza",?
6055, Drive Your Dream Cafe,"Punteggio 3,0 su 5",14 recensioni,"Italiana, Caffè",2.5
6056, Morgan's Milano,"Punteggio 3,0 su 5",43 recensioni,?,2.5
6057, Tabacchi Riv.636,"Punteggio 2,5 su 5",2 recensioni,?,?
6058, a Santa Lucia,"Punteggio 3,0 su 5",954 recensioni,"Italiana, Pizza",2.5
6059, NIMA Sushi (Milano - Centrale),"Punteggio 3,0 su 5",293 recensioni,"Giapponese, Sushi",2.5
6060, Il Giardino della Birra,"Punteggio 3,0 su 5",455 recensioni,"Italiana, Bar",2.5
6061, Fra Diavolo Pizzeria - Milano Citylife Shopping District,"Punteggio 3,0 su 5",16 recensioni,?,?
6062, OM Food,"Punteggio 3,0 su 5",34 recensioni,Italiana,2.5
6063, Chuan Hotpot,"Punteggio 2,0 su 5",1 recensione,"Cinese, Zuppe",?
6064, Pub O'Connell Milano,"Punteggio 3,0 su 5",139 recensioni,"Bar, Pub",2.5
6065, Bar Sesto,"Punteggio 2,5 su 5",4 recensioni,?,1
6066, Punto Grill,"Punteggio 2,0 su 5",1 recensione,?,2.5
6067, L'arte Dei Sapori,"Punteggio 3,0 su 5",4 recensioni,"Pizza, Pesce",?
6068, Rosticceria Galli,"Punteggio 3,0 su 5",36 recensioni,Italiana,2.5
6069, jardin d'histoire,"Punteggio 1,0 su 5",1 recensione,?,?
6070, Mundial Break,"Punteggio 3,0 su 5",18 recensioni,"Italiana, Bar",1
6071, toke Perú,"Punteggio 2,0 su 5",1 recensione,"Italiana, Peruviana",?
6072, Caffe Italia,"Punteggio 2,5 su 5",4 recensioni,Italiana,?
6073, Roadhouse Meatery,"Punteggio 3,0 su 5",158 recensioni,"Americana, Steakhouse",2.5
6074, Il Chiosco Di Pippo,"Punteggio 3,0 su 5",46 recensioni,?,1
6075, Bar Vittoria,"Punteggio 3,0 su 5",5 recensioni,Italiana,2.5
6076, Sixième Bistrò,"Punteggio 3,0 su 5",154 recensioni,"Italiana, Pesce",€€€€
6077, Cera Milano,"Punteggio 3,0 su 5",31 recensioni,"Italiana, Internazionale",?
6078, Takumi Fusion Restaurant,"Punteggio 3,0 su 5",88 recensioni,"Cinese, Giapponese",1
6080, Siamo Alla Frutta,"Punteggio 3,0 su 5",42 recensioni,?,2.5
6081, Viva Nachos,"Punteggio 3,0 su 5",7 recensioni,Messicana,?
6082, Caffé Belfiore,"Punteggio 3,0 su 5",4 recensioni,?,1
6083, Caffè Sforzesco,"Punteggio 3,0 su 5",615 recensioni,"Italiana, Caffè",2.5
6084, Pizzeria Arcobaleno,"Punteggio 2,5 su 5",3 recensioni,?,?
6086, Mister Pizza,"Punteggio 3,0 su 5",8 recensioni,"Italiana, Pizza",?
6087, Food Loft,"Punteggio 3,0 su 5",4 recensioni,Italiana,€€€€
6088, Zucchero E Sale,"Punteggio 3,0 su 5",35 recensioni,?,2.5
6089, Pizzeria da Mimmo,"Punteggio 3,0 su 5",7 recensioni,Italiana (sud),?
6090, San Carlo Al Corso,"Punteggio 3,0 su 5",12 recensioni,?,?
6091, Il Salotto di Milano,"Punteggio 3,0 su 5",401 recensioni,"Italiana, Mediterranea",2.5
6092, Bar El Birocc,"Punteggio 3,0 su 5",183 recensioni,"Italiana, Bar",1
6093, Al Mercato Steaks Burgers,"Punteggio 3,0 su 5",63 recensioni,"Italiana, Steakhouse",2.5
6094, Autogrill,"Punteggio 3,0 su 5",339 recensioni,"Italiana, Fast food",1
6095, Sherazade Shisha,"Punteggio 2,5 su 5",4 recensioni,Araba,2.5
6096, FOODIE’s by Tramezzino,"Punteggio 2,0 su 5",1 recensione,"Caffè, Europea",?
6097, Old Wild West,"Punteggio 3,0 su 5",164 recensioni,"Americana, Barbecue",1
6098, Taverna italiana Amici miei atto II°,"Punteggio 3,0 su 5",201 recensioni,"Italiana, Lombarda",2.5
6099, Datefood,"Punteggio 2,5 su 5",2 recensioni,?,?
6100, Bar Caffé Sassetti,"Punteggio 3,0 su 5",6 recensioni,?,?
6101, Bar Magenta,"Punteggio 3,0 su 5",1.172 recensioni,"Internazionale, Caffè",1
6102, Bellavista Ristorante Pizzeria,"Punteggio 3,0 su 5",28 recensioni,"Italiana, Pizza",2.5
6103, Bar Eritrea,"Punteggio 2,0 su 5",1 recensione,"Bar, Pub",?
6104, Baia Luna,"Punteggio 3,0 su 5",242 recensioni,Italiana,2.5
6105, Dibi221 Ristorante Africano,"Punteggio 2,5 su 5",3 recensioni,Africana,2.5
6106, Nowhere,"Punteggio 2,5 su 5",3 recensioni,"Bar, Caffè",?
6107, Vasinikò,"Punteggio 3,0 su 5",1.537 recensioni,"Italiana, Pizza",2.5
6108, Bar Vittorio,"Punteggio 2,5 su 5",7 recensioni,Italiana,?
6109, Burgez Corso Como 2,"Punteggio 3,0 su 5",32 recensioni,"Americana, Fast food",2.5
6110, California Bakery,"Punteggio 2,5 su 5",2 recensioni,Americana,?
6112, Madison Milano,"Punteggio 2,5 su 5",2 recensioni,"Americana, Argentina",?
6113, Alla Griglia,"Punteggio 3,0 su 5",10 recensioni,?,?
6114, Akkademia II,"Punteggio 3,0 su 5",179 recensioni,"Pesce, Pub",2.5
6115, Jamm Restaurant Pizza & Gourmet,"Punteggio 2,5 su 5",3 recensioni,"Bar, Italiana",2.5
6116, Mac Mahon 88,"Punteggio 2,5 su 5",2 recensioni,?,?
6118, Pan Brioche,"Punteggio 3,0 su 5",97 recensioni,"Italiana, Caffè",1
6119, Pizzeria Gennarì,"Punteggio 3,0 su 5",46 recensioni,"Italiana, Pizza",1
6120, Night Food,"Punteggio 2,5 su 5",3 recensioni,"Italiana, Internazionale",?
6121, Panificio Pattini,"Punteggio 3,0 su 5",173 recensioni,Italiana,1
6122, Bar del Muretto di Zheng Zhoujia,"Punteggio 2,0 su 5",2 recensioni,"Caffè, Gastropub",?
6123, Black Cafè,"Punteggio 2,5 su 5",5 recensioni,?,?
6124, La Tenda Rosa,"Punteggio 2,5 su 5",2 recensioni,Italiana,?
6125, Alice Pizza Dergano,"Punteggio 2,5 su 5",2 recensioni,Pizza,?
6126, Fratelli La Bufala Lab Montenero,"Punteggio 3,0 su 5",4 recensioni,"Italiana, Pizza",?
6127, Pizzicotto Pizzeria Italiana,"Punteggio 3,0 su 5",22 recensioni,"Italiana, Pizza",?
6128, Bar Marino,"Punteggio 3,0 su 5",249 recensioni,"Italiana (nord), Italiana (centro)",2.5
6129, Sweet Bakery and Cafe,"Punteggio 3,0 su 5",26 recensioni,"Italiana, Caffè",?
6130, Jin Yuan Sifu,"Punteggio 2,0 su 5",1 recensione,Cinese,?
6131, Quore Italiano,"Punteggio 3,0 su 5",171 recensioni,"Italiana, Pizza",2.5
6132, Hemingway cafe,"Punteggio 3,0 su 5",58 recensioni,"Pub, Bar",1
6133, Spontini- Piazzale Lodi,"Punteggio 2,5 su 5",2 recensioni,Pizza,1
6134, Fly Pizza 4,"Punteggio 3,0 su 5",17 recensioni,Pizza,1
6135, Bicoque 1522,"Punteggio 3,0 su 5",17 recensioni,"Italiana, Francese",2.5
6136, Farina & Cucina,"Punteggio 3,0 su 5",200 recensioni,"Italiana, Europea",2.5
6137, Slowear Cocktail Bar,"Punteggio 2,0 su 5",1 recensione,"Bar, Pub",?
6138, Monza 237,"Punteggio 3,0 su 5",86 recensioni,"Italiana, Pizza",2.5
6139, Iris Cafe',"Punteggio 3,0 su 5",5 recensioni,?,?
6140, Pizzikotto,"Punteggio 2,5 su 5",2 recensioni,?,?
6141, Actors Studios Cafe,"Punteggio 3,0 su 5",14 recensioni,?,?
6142, SL Station Grill,"Punteggio 2,0 su 5",2 recensioni,?,?
6144, Pokéstorie - Ventidue Marzo,"Punteggio 2,0 su 5",1 recensione,Hawaiana,?
6145, Cafè Rue Rivoli,"Punteggio 3,0 su 5",12 recensioni,"Italiana, Bar",?
6146, Gattopardo - Trattoria Siciliana,"Punteggio 2,0 su 5",1 recensione,"Siciliana, Italiana (sud)",?
6147, California Bakery,"Punteggio 2,0 su 5",1 recensione,Americana,?
6148, El Basha Pizza E Kebab,"Punteggio 2,0 su 5",1 recensione,"Pizza, Cibo di strada",?
6150, McDonald's,"Punteggio 2,5 su 5",9 recensioni,Fast food,1
6151, Mcdonald's,"Punteggio 2,5 su 5",7 recensioni,Americana,1
6152, Bar Atlantic Esselunga - Milano San Siro,"Punteggio 2,0 su 5",1 recensione,"Italiana, Bar",?
6153, Nap Caffè,"Punteggio 2,0 su 5",1 recensione,"Bar, Pub",?
6154, Red Black Bar,"Punteggio 3,0 su 5",5 recensioni,"Bar, Pub",?
6155, Cà Bianca Ristorante,"Punteggio 3,0 su 5",137 recensioni,Italiana,2.5
6156, Il Focacciaro,"Punteggio 3,0 su 5",3 recensioni,?,1
6157, Tiffany Pizz.,"Punteggio 2,0 su 5",2 recensioni,?,?
6158, Toz Cafe,"Punteggio 2,0 su 5",1 recensione,"Bar, Pub",?
6159, Luca's Bar,"Punteggio 3,0 su 5",52 recensioni,?,1
6160, Pizzeria Gennarì,"Punteggio 3,0 su 5",115 recensioni,"Pizza, Napoletana",1
6161, Mambo Cafè,"Punteggio 2,0 su 5",1 recensione,"Bar, Pub",?
6162, Burgez,"Punteggio 3,0 su 5",75 recensioni,"Americana, Fast food",1
