Unnamed: 0,title,r_bubbles,r_number,cook_type,expensive
190, Volverè Passion For Grill,"Punteggio 4,5 su 5",337 recensioni,"Steakhouse, Spagnola",€€€€
191, la calanca da Leo,"Punteggio 4,5 su 5",189 recensioni,"Pesce, Italiana",2.5
193, La Coccinella,"Punteggio 4,5 su 5",430 recensioni,"Italiana, Pizza",1
194, Bomaki Foppa,"Punteggio 4,0 su 5",1.463 recensioni,"Giapponese, Brasiliana",2.5
195, La Belle Alliance,"Punteggio 4,5 su 5",452 recensioni,"Italiana, Bar",1
196, Il Luogo di Aimo e Nadia,"Punteggio 4,5 su 5",1.178 recensioni,"Italiana, Contemporanea",€€€€
197, Carmelina - Via Cadore 2,"Punteggio 4,5 su 5",665 recensioni,"Pizza, Pesce",2.5
199, Ambaradan,"Punteggio 4,5 su 5",411 recensioni,"Pizza, Italiana",2.5
200, Gastronomia Yamamoto,"Punteggio 4,5 su 5",333 recensioni,"Giapponese, Gastronomia",2.5
201, Carmelina - Via Revel 5 (ISOLA),"Punteggio 4,5 su 5",258 recensioni,"Italiana, Italiana (sud)",2.5
202, Ristorante Galleria,"Punteggio 4,5 su 5",1.884 recensioni,"Italiana, Pizza",2.5
203, Beirut Ristorante,"Punteggio 4,5 su 5",534 recensioni,"Libanese, Mediterranea",2.5
204, La Rava e la Fava Milano,"Punteggio 4,5 su 5",1.778 recensioni,"Italiana, Pesce",2.5
205, La Dogana del Buongusto,"Punteggio 4,5 su 5",778 recensioni,"Italiana, Mediterranea",2.5
206, Gialle & CO.,"Punteggio 4,5 su 5",350 recensioni,Italiana,2.5
207, Noblesse Oblige,"Punteggio 4,5 su 5",1.195 recensioni,"Italiana, Pesce",2.5
208, L'Angolo Nascosto,"Punteggio 4,5 su 5",541 recensioni,"Italiana, Pesce",2.5
209, All'Origine,"Punteggio 4,0 su 5",503 recensioni,"Italiana, Pesce",2.5
210, Yang Sushi and Fusion,"Punteggio 4,5 su 5",712 recensioni,"Giapponese, Pesce",2.5
211, Norin Caffe Bistro,"Punteggio 4,5 su 5",390 recensioni,"Italiana, Pizza",2.5
212, De Santis,"Punteggio 4,5 su 5",892 recensioni,Italiana,2.5
213, Oficina do Sabor,"Punteggio 4,5 su 5",634 recensioni,"Sudamericana, Brasiliana",2.5
214, Ristorante Saporimaestri,"Punteggio 4,5 su 5",170 recensioni,"Italiana, Pesce",2.5
215, ATMosfera,"Punteggio 4,5 su 5",321 recensioni,Italiana,€€€€
216, Shannara 3,"Punteggio 4,5 su 5",715 recensioni,"Italiana, Mediterranea",2.5
217, Ristorante Alba D'Oro,"Punteggio 4,5 su 5",612 recensioni,"Italiana, Toscana",2.5
218, Kungfu Bao,"Punteggio 4,5 su 5",249 recensioni,"Cinese, Asiatica",1
219, The Brisket Milano,"Punteggio 4,5 su 5",879 recensioni,"Americana, Steakhouse",2.5
220, San Mina,"Punteggio 4,5 su 5",433 recensioni,"Italiana, Pizza",1
221, Mes Amis,"Punteggio 4,5 su 5",525 recensioni,"Mediterranea, Italiana",2.5
222, Oren,"Punteggio 4,5 su 5",478 recensioni,"Cinese, Pesce",2.5
223, Ingalera,"Punteggio 4,5 su 5",478 recensioni,Italiana,2.5
225, Nishiki,"Punteggio 4,5 su 5",1.164 recensioni,"Giapponese, Pesce",2.5
226, CIZ Cantina e Cucina Milano,"Punteggio 4,5 su 5",250 recensioni,"Italiana, Mediterranea",2.5
227, Trapizzino MIlano,"Punteggio 4,5 su 5",302 recensioni,"Italiana, Cibo di strada",1
228, Pizzeria da Pino,"Punteggio 4,5 su 5",765 recensioni,"Italiana, Pizza",1
229, La Collina d'Oro,"Punteggio 4,5 su 5",701 recensioni,"Cinese, Giapponese",2.5
231, Osteria Al Molo 13,"Punteggio 4,5 su 5",1.770 recensioni,"Italiana, Pesce",2.5
232, Mama Eat Milano,"Punteggio 4,5 su 5",725 recensioni,"Italiana, Pizza",2.5
233, Cruditè Milano,"Punteggio 4,5 su 5",222 recensioni,"Italiana, Pesce",€€€€
234, Yuebinlou,"Punteggio 4,5 su 5",291 recensioni,"Cinese, Pesce",1
235, La Bufalotta,"Punteggio 5,0 su 5",70 recensioni,"Italiana, Turca",1
236, Ristorante Sa Mesa,"Punteggio 4,5 su 5",1.108 recensioni,"Pesce, Mediterranea",2.5
237, Don Juan ristorante argentino,"Punteggio 4,0 su 5",1.733 recensioni,"Steakhouse, Latino americana",€€€€
238, I Sapori Della Pasta,"Punteggio 5,0 su 5",86 recensioni,"Italiana, Mediterranea",1
239, La Posteria di Nonna Papera,"Punteggio 4,5 su 5",599 recensioni,"Mediterranea, Italiana",2.5
240, Ramenamano,"Punteggio 4,5 su 5",254 recensioni,"Cinese, Asiatica",2.5
241, Hosteria Porta Tosa,"Punteggio 4,5 su 5",109 recensioni,"Italiana, Mediterranea",2.5
242, Rita,"Punteggio 4,5 su 5",713 recensioni,"Italiana, Bar",2.5
243, Al Pulentin,"Punteggio 4,0 su 5",541 recensioni,"Italiana, Pesce",2.5
244, Naxos,"Punteggio 4,5 su 5",356 recensioni,"Italiana, Pesce",2.5
245, Gli Orti del Belvedere,"Punteggio 4,5 su 5",551 recensioni,"Italiana, Pesce",2.5
246, Osteria Caneva,"Punteggio 4,5 su 5",552 recensioni,"Pesce, Zuppe",2.5
247, Terrazza Gallia,"Punteggio 4,5 su 5",539 recensioni,"Italiana, Pesce",€€€€
