title,address_trip,new_column_merged,address_clean_merged,Index,new_column_google,price_level_google,rating_google,total_reviews_google,address,address_clean_google
,,,,6047,Mina Pizza & Kebab,1.0,3.7,100.0,"Viale Monte Nero, 20, Milano","viale monte nero, 20, milano"
,,,,6053,Mind The Gap,2.0,4.3,396.0,"Via Curtatone, 5, Milano","via curtatone, 5, milano"
,,,,6054,EIMI Sushi,1.0,4.2,683.0,"Viale Monte Nero, 23, Milano","viale monte nero, 23, milano"
,,,,6055,Ristorante Pizzeria Aurora,1.0,4.4,372.0,"Via Curtatone ang, Via Orti, Milano","via curtatone ang, via orti, milano"
,,,,6056,Ristorante Timebrek (BTM),2.0,4.3,200.0,"Viale Monte Nero, 21, Milano","viale monte nero, 21, milano"
,,,,6058,--- PIZZA AL TRANCIO --- Cerro Ardente dal 1972,1.0,4.0,554.0,"Viale Monte Nero, 16, Milano","viale monte nero, 16, milano"
,,,,6059,"Ristorante Pizzeria Orti16, Con Cucina Mediorientale",1.0,4.0,351.0,"Via Orti, 16, Milano","via orti, 16, milano"
,,,,6060,Bbq Ribs & Wings,,,,"Via Orti, 16, Milano","via orti, 16, milano"
,,,,6061,Fry Me - Korean BBQ,,3.2,6.0,"Via Orti, 16, Milano","via orti, 16, milano"
,,,,6069,Panino Giusto,2.0,3.9,270.0,"Viale Monte Nero, 23, Milano","viale monte nero, 23, milano"
,,,,6070,Alventicinque,2.0,4.6,371.0,"Viale Monte Nero, 25, Milano","viale monte nero, 25, milano"
,,,,6071,Muddica,2.0,4.3,398.0,"Viale Monte Nero, 27, Milano","viale monte nero, 27, milano"
,,,,6078,Horse Cafè,,4.3,88.0,"Viale Monte Nero, 21, Milano","viale monte nero, 21, milano"
,,,,6080,Fiordiponti Bakery & Cafè,2.0,4.4,635.0,"Viale Monte Nero, 5, Milano","viale monte nero, 5, milano"
,,,,6092,Bagni Misteriosi,,4.1,3366.0,"Via Carlo Botta, 18, Milano","via carlo botta, 18, milano"
,,,,6093,Gūd Bagni Misteriosi,,2.5,67.0,"Via Carlo Botta, 18, Milano","via carlo botta, 18, milano"
,,,,6094,Parenti Bistrot by Gud,,3.0,4.0,"Via Pier Lombardo, 14, Milano","via pier lombardo, 14, milano"
,,,,6095,Salt Food Atelier,,4.6,200.0,"Via Pier Lombardo, 23, Milano","via pier lombardo, 23, milano"
,,,,6096,La Schiscetteria,,4.7,228.0,"Via Serviliano Lattuada, 17, Milano","via serviliano lattuada, 17, milano"
,,,,6097,La Friterie Societa' A Responsabilita' Limitata Semplificata,,,,"Via Pier Lombardo, 23, Milano","via pier lombardo, 23, milano"
,,,,6098,Ristorante Ughetto,,4.8,122.0,"Viale Monte Nero, 19, Milano","viale monte nero, 19, milano"
